Date,Year, Month, Day,     Extent
1978-10-26,1978,10,26,17.624
1978-10-28,1978,10,28,17.803
1978-10-30,1978,10,30,17.67
1978-11-01,1978,11,1,17.527
1978-11-03,1978,11,3,17.486
1978-11-05,1978,11,5,17.343
1978-11-07,1978,11,7,17.157
1978-11-09,1978,11,9,17.028
1978-11-11,1978,11,11,16.815
1978-11-13,1978,11,13,16.371
1978-11-15,1978,11,15,16.176
1978-11-17,1978,11,17,15.52
1978-11-19,1978,11,19,15.267
1978-11-21,1978,11,21,15.027
1978-11-23,1978,11,23,14.681
1978-11-25,1978,11,25,14.449
1978-11-27,1978,11,27,13.98
1978-11-29,1978,11,29,13.619
1978-12-01,1978,12,1,13.33
1978-12-03,1978,12,3,13.097
1978-12-05,1978,12,5,12.829
1978-12-07,1978,12,7,12.436
1978-12-09,1978,12,9,11.963
1978-12-11,1978,12,11,11.652
1978-12-13,1978,12,13,11.148
1978-12-15,1978,12,15,10.664
1978-12-17,1978,12,17,10.239
1978-12-19,1978,12,19,9.758
1978-12-21,1978,12,21,9.362
1978-12-23,1978,12,23,8.706
1978-12-25,1978,12,25,8.362
1978-12-27,1978,12,27,7.907
1978-12-29,1978,12,29,7.588
1978-12-31,1978,12,31,7.283
1979-01-02,1979,1,2,6.945
1979-01-04,1979,1,4,6.838
1979-01-06,1979,1,6,6.638
1979-01-08,1979,1,8,6.27
1979-01-10,1979,1,10,6.138
1979-01-12,1979,1,12,5.952
1979-01-14,1979,1,14,5.564
1979-01-16,1979,1,16,5.379
1979-01-18,1979,1,18,5.233
1979-01-20,1979,1,20,4.984
1979-01-22,1979,1,22,4.609
1979-01-24,1979,1,24,4.397
1979-01-26,1979,1,26,4.184
1979-01-28,1979,1,28,4.004
1979-01-30,1979,1,30,3.898
1979-02-01,1979,2,1,3.704
1979-02-03,1979,2,3,3.516
1979-02-05,1979,2,5,3.367
1979-02-07,1979,2,7,3.326
1979-02-09,1979,2,9,3.212
1979-02-11,1979,2,11,3.043
1979-02-13,1979,2,13,3.049
1979-02-15,1979,2,15,2.916
1979-02-17,1979,2,17,2.911
1979-02-19,1979,2,19,2.95
1979-02-21,1979,2,21,2.945
1979-02-23,1979,2,23,2.924
1979-02-25,1979,2,25,2.996
1979-02-27,1979,2,27,3.116
1979-03-01,1979,3,1,3.248
1979-03-03,1979,3,3,3.079
1979-03-05,1979,3,5,3.228
1979-03-07,1979,3,7,3.308
1979-03-09,1979,3,9,3.366
1979-03-11,1979,3,11,3.443
1979-03-13,1979,3,13,3.594
1979-03-15,1979,3,15,3.721
1979-03-17,1979,3,17,3.832
1979-03-19,1979,3,19,4.091
1979-03-21,1979,3,21,4.248
1979-03-23,1979,3,23,4.5
1979-03-25,1979,3,25,4.818
1979-03-27,1979,3,27,4.894
1979-03-29,1979,3,29,5.208
1979-03-31,1979,3,31,5.411
1979-04-02,1979,4,2,5.649
1979-04-04,1979,4,4,5.826
1979-04-06,1979,4,6,6.152
1979-04-08,1979,4,8,6.409
1979-04-10,1979,4,10,6.806
1979-04-12,1979,4,12,7.149
1979-04-14,1979,4,14,7.309
1979-04-16,1979,4,16,7.587
1979-04-18,1979,4,18,7.742
1979-04-20,1979,4,20,8.01
1979-04-22,1979,4,22,8.273
1979-04-24,1979,4,24,8.572
1979-04-26,1979,4,26,8.791
1979-04-28,1979,4,28,8.97
1979-04-30,1979,4,30,9.038
1979-05-02,1979,5,2,9.162
1979-05-04,1979,5,4,9.498
1979-05-06,1979,5,6,9.968
1979-05-08,1979,5,8,9.848
1979-05-10,1979,5,10,10.109
1979-05-12,1979,5,12,10.342
1979-05-14,1979,5,14,10.656
1979-05-16,1979,5,16,10.953
1979-05-18,1979,5,18,11.145
1979-05-20,1979,5,20,11.273
1979-05-22,1979,5,22,11.458
1979-05-24,1979,5,24,11.634
1979-05-26,1979,5,26,11.868
1979-05-28,1979,5,28,12.116
1979-05-30,1979,5,30,12.37
1979-06-01,1979,6,1,12.654
1979-06-03,1979,6,3,13.061
1979-06-05,1979,6,5,13.24
1979-06-07,1979,6,7,13.452
1979-06-09,1979,6,9,13.523
1979-06-11,1979,6,11,13.661
1979-06-13,1979,6,13,13.748
1979-06-15,1979,6,15,13.952
1979-06-17,1979,6,17,14.26
1979-06-19,1979,6,19,14.588
1979-06-21,1979,6,21,14.909
1979-06-23,1979,6,23,15.227
1979-06-25,1979,6,25,15.371
1979-06-27,1979,6,27,15.513
1979-06-29,1979,6,29,15.646
1979-07-01,1979,7,1,15.685
1979-07-03,1979,7,3,15.779
1979-07-05,1979,7,5,15.896
1979-07-07,1979,7,7,15.947
1979-07-09,1979,7,9,16.128
1979-07-11,1979,7,11,16.235
1979-07-13,1979,7,13,16.408
1979-07-15,1979,7,15,16.588
1979-07-17,1979,7,17,16.661
1979-07-19,1979,7,19,16.794
1979-07-21,1979,7,21,16.864
1979-07-23,1979,7,23,16.93
1979-07-25,1979,7,25,17.144
1979-07-27,1979,7,27,17.042
1979-07-29,1979,7,29,17.11
1979-07-31,1979,7,31,17.059
1979-08-02,1979,8,2,16.944
1979-08-04,1979,8,4,17.022
1979-08-06,1979,8,6,16.983
1979-08-08,1979,8,8,17
1979-08-10,1979,8,10,17.181
1979-08-12,1979,8,12,17.506
1979-08-14,1979,8,14,17.62
1979-08-16,1979,8,16,17.876
1979-08-18,1979,8,18,18.118
1979-08-20,1979,8,20,18.136
1979-08-22,1979,8,22,18.283
1979-08-24,1979,8,24,18.268
