Date,Year,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound
3/15/1979,1979,5.36,5.1,5.63
3/15/1980,1980,5.6,5.34,5.85
3/15/1981,1981,6.09,5.83,6.34
3/15/1982,1982,5.86,5.61,6.11
3/15/1983,1983,6.19,5.93,6.44
3/15/1984,1984,6.15,5.91,6.4
3/15/1985,1985,5.75,5.5,6
3/15/1986,1986,5.77,5.52,6.02
3/15/1987,1987,5.8,5.55,6.04
3/15/1988,1988,5.98,5.73,6.23
3/15/1989,1989,6.16,5.91,6.41
3/15/1990,1990,6.23,5.97,6.49
3/15/1991,1991,6.33,6.07,6.59
3/15/1992,1992,6.36,6.09,6.62
3/15/1993,1993,6.29,6.03,6.56
3/15/1994,1994,6.5,6.24,6.76
3/15/1995,1995,6.62,6.35,6.88
3/15/1996,1996,6.79,6.52,7.05
3/15/1997,1997,7.07,6.8,7.33
3/15/1998,1998,6.67,6.39,6.94
3/15/1999,1999,7.01,6.74,7.29
3/15/2000,2000,7.06,6.79,7.33
3/15/2001,2001,7.29,7.02,7.56
3/15/2002,2002,7.38,7.11,7.65
3/15/2003,2003,7.76,7.48,8.04
3/15/2004,2004,7.74,7.46,8.02
3/15/2005,2005,7.74,7.47,8.02
3/15/2006,2006,7.92,7.65,8.19
3/15/2007,2007,8,7.71,8.28
3/15/2008,2008,8.35,8.08,8.62
3/15/2009,2009,8.59,8.31,8.86
3/15/2010,2010,8.9,8.62,9.19
3/15/2011,2011,8.96,8.66,9.27
3/15/2012,2012,9.33,8.99,9.66
3/15/2013,2013,8.98,8.62,9.34
