Date,Date2,Year,Month,Ice,Anomaly
197901,1/1/79,1979,1,20.81,1.39
197902,2/1/79,1979,2,19.32,0.95
197903,3/1/79,1979,3,20.34,0.88
197904,4/1/79,1979,4,22.94,1.4
197905,5/1/79,1979,5,24.69,1.24
197906,6/1/79,1979,6,26.72,1.6
197907,7/1/79,1979,7,26.83,1.4
197908,8/1/79,1979,8,25.74,0.82
197909,9/1/79,1979,9,25.25,0.35
197910,10/1/79,1979,10,26.57,0.13
197911,11/1/79,1979,11,26.28,-0.32
197912,12/1/79,1979,12,22.58,-0.67
198001,1/1/80,1980,1,19.42,0
198002,2/1/80,1980,2,18.78,0.41
198003,3/1/80,1980,3,19.33,-0.13
198004,4/1/80,1980,4,20.83,-0.71
198005,5/1/80,1980,5,22.65,-0.8
198006,6/1/80,1980,6,24.69,-0.43
198007,7/1/80,1980,7,25.66,0.23
198008,8/1/80,1980,8,25.79,0.87
198009,9/1/80,1980,9,26.49,1.59
198010,10/1/80,1980,10,27.75,1.31
198011,11/1/80,1980,11,27.51,0.91
198012,12/1/80,1980,12,23.75,0.5
198101,1/1/81,1981,1,19.32,-0.1
198102,2/1/81,1981,2,18.47,0.1
198103,3/1/81,1981,3,19.02,-0.44
198104,4/1/81,1981,4,20.85,-0.69
198105,5/1/81,1981,5,23.15,-0.3
198106,6/1/81,1981,6,25.54,0.42
198107,7/1/81,1981,7,26.31,0.88
198108,8/1/81,1981,8,25.58,0.66
198109,9/1/81,1981,9,25.74,0.84
198110,10/1/81,1981,10,27.15,0.71
198111,11/1/81,1981,11,27.04,0.44
198112,12/1/81,1981,12,24.23,0.98
198201,1/1/82,1982,1,20.44,1.02
198202,2/1/82,1982,2,19.1,0.73
198203,3/1/82,1982,3,20.33,0.87
198204,4/1/82,1982,4,23.19,1.65
198205,5/1/82,1982,5,24.73,1.28
198206,6/1/82,1982,6,25.9,0.78
198207,7/1/82,1982,7,26.24,0.81
198208,8/1/82,1982,8,25.93,1.01
198209,9/1/82,1982,9,25.65,0.75
198210,10/1/82,1982,10,27.21,0.77
198211,11/1/82,1982,11,27.17,0.57
198212,12/1/82,1982,12,22.86,-0.39
198301,1/1/83,1983,1,19.71,0.29
198302,2/1/83,1983,2,19.08,0.71
198303,3/1/83,1983,3,20.11,0.65
198304,4/1/83,1983,4,21.64,0.1
198305,5/1/83,1983,5,23.02,-0.43
198306,6/1/83,1983,6,24.94,-0.18
198307,7/1/83,1983,7,26.04,0.61
198308,8/1/83,1983,8,25.44,0.52
198309,9/1/83,1983,9,25.98,1.08
198310,10/1/83,1983,10,27.25,0.81
198311,11/1/83,1983,11,27.47,0.87
198312,12/1/83,1983,12,23.69,0.44
198401,1/1/84,1984,1,19.25,-0.17
198402,2/1/84,1984,2,17.98,-0.39
198403,3/1/84,1984,3,19.19,-0.27
198404,4/1/84,1984,4,21.43,-0.11
198405,5/1/84,1984,5,23.33,-0.12
198406,6/1/84,1984,6,25.38,0.26
198407,7/1/84,1984,7,26.38,0.95
198408,8/1/84,1984,8,25.7,0.78
198409,9/1/84,1984,9,24.98,0.08
198410,10/1/84,1984,10,26.13,-0.31
198411,11/1/84,1984,11,26.97,0.37
198412,12/1/84,1984,12,23.46,0.21
198501,1/1/85,1985,1,19.18,-0.24
198502,2/1/85,1985,2,18.31,-0.06
198503,3/1/85,1985,3,19.61,0.15
198504,4/1/85,1985,4,21.85,0.31
198505,5/1/85,1985,5,24.22,0.77
198506,6/1/85,1985,6,25.65,0.53
198507,7/1/85,1985,7,25.46,0.03
198508,8/1/85,1985,8,25.03,0.11
198509,9/1/85,1985,9,25.4,0.5
198510,10/1/85,1985,10,26.75,0.31
198511,11/1/85,1985,11,27.16,0.56
198512,12/1/85,1985,12,24.4,1.15
198601,1/1/86,1986,1,20.31,0.89
198602,2/1/86,1986,2,18.97,0.6
198603,3/1/86,1986,3,19.61,0.15
198604,4/1/86,1986,4,21.45,-0.09
198605,5/1/86,1986,5,22.68,-0.77
198606,6/1/86,1986,6,24.67,-0.45
198607,7/1/86,1986,7,25.47,0.04
198608,8/1/86,1986,8,24.98,0.06
198609,9/1/86,1986,9,25.09,0.19
198610,10/1/86,1986,10,26.66,0.22
198611,11/1/86,1986,11,26.46,-0.14
