Date,Date2,Year,Month,Value,Anomaly
197901,1/1/79,1979,1,15.41,0.99
197902,2/1/79,1979,2,16.18,0.88
197903,3/1/79,1979,3,16.34,0.91
197904,4/1/79,1979,4,15.45,0.76
197905,5/1/79,1979,5,13.86,0.57
197906,6/1/79,1979,6,12.53,0.76
197907,7/1/79,1979,7,10.31,0.84
197908,8/1/79,1979,8,8.04,0.84
197909,9/1/79,1979,9,7.05,0.64
197910,10/1/79,1979,10,8.75,0.4
197911,11/1/79,1979,11,10.94,0.24
197912,12/1/79,1979,12,13.34,0.5
198001,1/1/80,1980,1,14.86,0.44
198002,2/1/80,1980,2,15.96,0.66
198003,3/1/80,1980,3,16.04,0.61
198004,4/1/80,1980,4,15.43,0.74
198005,5/1/80,1980,5,13.79,0.5
198006,6/1/80,1980,6,12.2,0.43
198007,7/1/80,1980,7,10.1,0.63
198008,8/1/80,1980,8,7.98,0.78
198009,9/1/80,1980,9,7.67,1.26
198010,10/1/80,1980,10,9.18,0.83
198011,11/1/80,1980,11,11.38,0.68
198012,12/1/80,1980,12,13.59,0.75
198101,1/1/81,1981,1,14.91,0.49
198102,2/1/81,1981,2,15.6,0.3
198103,3/1/81,1981,3,15.63,0.2
198104,4/1/81,1981,4,15.01,0.32
198105,5/1/81,1981,5,13.8,0.51
198106,6/1/81,1981,6,12.43,0.66
198107,7/1/81,1981,7,10.27,0.8
198108,8/1/81,1981,8,7.84,0.64
198109,9/1/81,1981,9,7.14,0.73
198110,10/1/81,1981,10,8.86,0.51
198111,11/1/81,1981,11,10.93,0.23
198112,12/1/81,1981,12,13.34,0.5
198201,1/1/82,1982,1,15.18,0.76
198202,2/1/82,1982,2,15.97,0.67
198203,3/1/82,1982,3,16.04,0.61
198204,4/1/82,1982,4,15.47,0.78
198205,5/1/82,1982,5,13.97,0.68
198206,6/1/82,1982,6,12.48,0.71
198207,7/1/82,1982,7,10.37,0.9
198208,8/1/82,1982,8,8.14,0.94
198209,9/1/82,1982,9,7.3,0.89
198210,10/1/82,1982,10,9.42,1.07
198211,11/1/82,1982,11,11.63,0.93
198212,12/1/82,1982,12,13.64,0.8
198301,1/1/83,1983,1,14.94,0.52
198302,2/1/83,1983,2,16.01,0.71
198303,3/1/83,1983,3,16.09,0.66
198304,4/1/83,1983,4,15.17,0.48
198305,5/1/83,1983,5,13.49,0.2
198306,6/1/83,1983,6,12.3,0.53
