Date,Date2,Year,Month,Value,Anomaly
197901,1/1/79,1979,1,5.4,0.4
197902,2/1/79,1979,2,3.14,0.07
197903,3/1/79,1979,3,4,-0.03
197904,4/1/79,1979,4,7.49,0.64
197905,5/1/79,1979,5,10.83,0.67
197906,6/1/79,1979,6,14.19,0.84
197907,7/1/79,1979,7,16.52,0.56
197908,8/1/79,1979,8,17.7,-0.02
197909,9/1/79,1979,9,18.2,-0.29
197910,10/1/79,1979,10,17.82,-0.28
197911,11/1/79,1979,11,15.34,-0.56
197912,12/1/79,1979,12,9.24,-1.17
198001,1/1/80,1980,1,4.56,-0.44
198002,2/1/80,1980,2,2.82,-0.25
198003,3/1/80,1980,3,3.29,-0.74
198004,4/1/80,1980,4,5.4,-1.45
198005,5/1/80,1980,5,8.86,-1.3
198006,6/1/80,1980,6,12.49,-0.86
198007,7/1/80,1980,7,15.56,-0.4
198008,8/1/80,1980,8,17.81,0.09
198009,9/1/80,1980,9,18.82,0.33
198010,10/1/80,1980,10,18.57,0.47
198011,11/1/80,1980,11,16.13,0.23
198012,12/1/80,1980,12,10.16,-0.25
198101,1/1/81,1981,1,4.41,-0.59
198102,2/1/81,1981,2,2.87,-0.2
198103,3/1/81,1981,3,3.39,-0.64
198104,4/1/81,1981,4,5.84,-1.01
198105,5/1/81,1981,5,9.35,-0.81
198106,6/1/81,1981,6,13.11,-0.24
198107,7/1/81,1981,7,16.04,0.08
198108,8/1/81,1981,8,17.74,0.02
198109,9/1/81,1981,9,18.6,0.11
198110,10/1/81,1981,10,18.29,0.19
198111,11/1/81,1981,11,16.11,0.21
198112,12/1/81,1981,12,10.89,0.48
198201,1/1/82,1982,1,5.26,0.26
198202,2/1/82,1982,2,3.13,0.06
198203,3/1/82,1982,3,4.29,0.26
198204,4/1/82,1982,4,7.72,0.87
198205,5/1/82,1982,5,10.76,0.6
198206,6/1/82,1982,6,13.42,0.07
198207,7/1/82,1982,7,15.87,-0.09
198208,8/1/82,1982,8,17.79,0.07
198209,9/1/82,1982,9,18.35,-0.14
198210,10/1/82,1982,10,17.79,-0.31
198211,11/1/82,1982,11,15.54,-0.36
198212,12/1/82,1982,12,9.22,-1.19
198301,1/1/83,1983,1,4.77,-0.23
198302,2/1/83,1983,2,3.07,0
198303,3/1/83,1983,3,4.02,-0.01
198304,4/1/83,1983,4,6.47,-0.38
198305,5/1/83,1983,5,9.53,-0.63
198306,6/1/83,1983,6,12.64,-0.71
198307,7/1/83,1983,7,15.47,-0.49
198308,8/1/83,1983,8,17.25,-0.47
198309,9/1/83,1983,9,18.59,0.1
198310,10/1/83,1983,10,17.92,-0.18
198311,11/1/83,1983,11,16.01,0.11
198312,12/1/83,1983,12,10.39,-0.02
198401,1/1/84,1984,1,4.78,-0.22
198402,2/1/84,1984,2,2.68,-0.39
198403,3/1/84,1984,3,3.61,-0.42
198404,4/1/84,1984,4,6.42,-0.43
198405,5/1/84,1984,5,9.75,-0.41
198406,6/1/84,1984,6,13.23,-0.12
198407,7/1/84,1984,7,16.4,0.44
198408,8/1/84,1984,8,17.93,0.21
198409,9/1/84,1984,9,18.17,-0.32
198410,10/1/84,1984,10,17.57,-0.53
198411,11/1/84,1984,11,16.13,0.23
198412,12/1/84,1984,12,10.47,0.06
198501,1/1/85,1985,1,4.46,-0.54
198502,2/1/85,1985,2,2.84,-0.23
198503,3/1/85,1985,3,3.72,-0.31
198504,4/1/85,1985,4,6.49,-0.36
198505,5/1/85,1985,5,10.15,-0.01
198506,6/1/85,1985,6,13.43,0.08
198507,7/1/85,1985,7,15.72,-0.24
198508,8/1/85,1985,8,17.63,-0.09
198509,9/1/85,1985,9,18.7,0.21
198510,10/1/85,1985,10,18.2,0.1
198511,11/1/85,1985,11,16.14,0.24
198512,12/1/85,1985,12,11.35,0.94
198601,1/1/86,1986,1,5.42,0.42
198602,2/1/86,1986,2,3.19,0.12
198603,3/1/86,1986,3,3.7,-0.33
198604,4/1/86,1986,4,6.39,-0.46
198605,5/1/86,1986,5,9.3,-0.86
198606,6/1/86,1986,6,12.69,-0.66
198607,7/1/86,1986,7,15.32,-0.64
198608,8/1/86,1986,8,17,-0.72
198609,9/1/86,1986,9,17.68,-0.81
198610,10/1/86,1986,10,17.18,-0.92
198611,11/1/86,1986,11,15.01,-0.89
198612,12/1/86,1986,12,9.65,-0.76
198701,1/1/87,1987,1,5.13,0.13
198702,2/1/87,1987,2,3.25,0.18
198703,3/1/87,1987,3,4.11,0.08
198704,4/1/87,1987,4,6.8,-0.05
198705,5/1/87,1987,5,9.69,-0.47
198706,6/1/87,1987,6,12.68,-0.67
198707,7/1/87,1987,7,15.75,-0.21
198708,8/1/87,1987,8,17.6,-0.12
198709,9/1/87,1987,9,18.25,-0.24
198710,10/1/87,1987,10,17.67,-0.43
198711,11/1/87,1987,11,15.58,-0.32
198712,12/1/87,1987,12,-9999,-9999
198801,1/1/88,1988,1,-9999,-9999
198802,2/1/88,1988,2,2.89,-0.18
198803,3/1/88,1988,3,3.97,-0.06
198804,4/1/88,1988,4,6.29,-0.56
198805,5/1/88,1988,5,9.6,-0.56
198806,6/1/88,1988,6,13.09,-0.26
198807,7/1/88,1988,7,15.75,-0.21
198808,8/1/88,1988,8,17.56,-0.16
198809,9/1/88,1988,9,18.31,-0.18
198810,10/1/88,1988,10,18.36,0.26
198811,11/1/88,1988,11,16.15,0.25
198812,12/1/88,1988,12,11.06,0.65
198901,1/1/89,1989,1,4.74,-0.26
198902,2/1/89,1989,2,2.98,-0.09
198903,3/1/89,1989,3,3.93,-0.1
198904,4/1/89,1989,4,6.31,-0.54
198905,5/1/89,1989,5,10.3,0.14
198906,6/1/89,1989,6,13.58,0.23
198907,7/1/89,1989,7,15.71,-0.25
198908,8/1/89,1989,8,17.47,-0.25
198909,9/1/89,1989,9,18.12,-0.37
198910,10/1/89,1989,10,17.86,-0.24
198911,11/1/89,1989,11,15.73,-0.17
198912,12/1/89,1989,12,9.84,-0.57
199001,1/1/90,1990,1,4.87,-0.13
199002,2/1/90,1990,2,3.04,-0.03
199003,3/1/90,1990,3,3.97,-0.06
199004,4/1/90,1990,4,7,0.15
199005,5/1/90,1990,5,9.72,-0.44
199006,6/1/90,1990,6,13.08,-0.27
199007,7/1/90,1990,7,15.57,-0.39
199008,8/1/90,1990,8,17.57,-0.15
199009,9/1/90,1990,9,18.19,-0.3
199010,10/1/90,1990,10,17.95,-0.15
199011,11/1/90,1990,11,15.47,-0.43
199012,12/1/90,1990,12,9.95,-0.46
199101,1/1/91,1991,1,5.34,0.34
199102,2/1/91,1991,2,3.16,0.09
199103,3/1/91,1991,3,3.81,-0.22
199104,4/1/91,1991,4,7.05,0.2
199105,5/1/91,1991,5,10.28,0.12
199106,6/1/91,1991,6,13.07,-0.28
199107,7/1/91,1991,7,15.55,-0.41
199108,8/1/91,1991,8,17.72,0
199109,9/1/91,1991,9,18.31,-0.18
199110,10/1/91,1991,10,17.92,-0.18
199111,11/1/91,1991,11,15.58,-0.32
199112,12/1/91,1991,12,10.19,-0.22
199201,1/1/92,1992,1,4.75,-0.25
199202,2/1/92,1992,2,2.84,-0.23
199203,3/1/92,1992,3,3.57,-0.46
199204,4/1/92,1992,4,6.79,-0.06
199205,5/1/92,1992,5,9.92,-0.24
199206,6/1/92,1992,6,12.81,-0.54
199207,7/1/92,1992,7,15.89,-0.07
199208,8/1/92,1992,8,17.73,0.01
199209,9/1/92,1992,9,18.15,-0.34
199210,10/1/92,1992,10,17.93,-0.17
199211,11/1/92,1992,11,15.9,0
199212,12/1/92,1992,12,10.21,-0.2
199301,1/1/93,1993,1,4.41,-0.59
199302,2/1/93,1993,2,2.48,-0.59
199303,3/1/93,1993,3,3.67,-0.36
199304,4/1/93,1993,4,6.65,-0.2
199305,5/1/93,1993,5,10.1,-0.06
199306,6/1/93,1993,6,13.15,-0.2
